artist,rank,song,year
Billy Joel,89,The Longest Time,1984
Kool &amp; the Gang,90,"""Tonight""",1984
Christine McVie,91,Got a Hold on Me,1984
Shalamar,92,Dancing in the Sheets,1984
The Rolling Stones,93,Undercover of the Night,1984
John Cafferty &amp; The Beaver Brown Band,94,"""On the Dark Side""",1984
Duran Duran,95,New Moon on Monday,1984
Peter Schilling,96,Major Tom (Coming Home),1984
The Cars,97,Magic,1984
Night Ranger,98,When You Close Your Eyes,1984
Billy Squier,99,Rock Me Tonite,1984
James Ingram,100,Yah Mo B There,1984
Wham!,1,Careless Whisper,1985
Madonna,2,Like a Virgin,1985
Wham!,3,Wake Me Up Before You Go-Go,1985
Foreigner,4,I Want to Know What Love Is,1985
Chaka Khan,5,I Feel for You,1985
Hall &amp; Oates,6,Out of Touch,1985
Tears for Fears,7,Everybody Wants to Rule the World,1985
Dire Straits,8,Money for Nothing,1985
Madonna,9,Crazy for You,1985
a-ha,10,Take on Me,1985
Paul Young,11,Everytime You Go Away,1985
Philip Bailey,12,Easy Lover,1985
REO Speedwagon,13,Can't Fight This Feeling,1985
Starship,14,We Built This City,1985
Huey Lewis and the News,15,The Power of Love,1985
Simple Minds,16,Don't You (Forget About Me),1985
Kool &amp; the Gang,17,Cherish,1985
John Parr,18,St. Elmo's Fire (Man in Motion),1985
Glenn Frey,19,The Heat Is On,1985
USA for Africa,20,We Are the World,1985
Tears for Fears,21,Shout,1985
Stevie Wonder,22,Part-Time Lover,1985
Whitney Houston,23,Saving All My Love For You,1985
Bryan Adams,24,Heaven,1985
Wham!,25,Everything She Wants,1985
New Edition,26,Cool It Now,1985
Jan Hammer,27,Miami Vice Theme,1985
Billy Ocean,28,Loverboy,1985
Teena Marie,29,Lovergirl,1985
Glenn Frey,30,You Belong to the City,1985
Ready for the World,31,Oh Sheila,1985
DeBarge,32,Rhythm of the Night,1985
Phil Collins,33,One More Night,1985
The Honeydrippers,34,Sea of Love,1985
Duran Duran,35,A View to a Kill,1985
Duran Duran,36,The Wild Boys,1985
Chicago,37,You're the Inspiration,1985
The Pointer Sisters,38,Neutron Dance,1985
Pat Benatar,39,We Belong,1985
Commodores,40,Nightshift,1985
Howard Jones,41,Things Can Only Get Better,1985
Jack Wagner,42,All I Need,1985
Aretha Franklin,43,Freeway of Love,1985
Corey Hart,44,Never Surrender,1985
Phil Collins,45,Sussudio,1985
Sheena Easton,46,Strut,1985
Whitney Houston,47,You Give Good Love,1985
Survivor,48,The Search Is Over,1985
Diana Ross,49,Missing You,1985
Phil Collins,50,Separate Lives,1985
Prince,51,Raspberry Beret,1985
Billy Ocean,52,Suddenly,1985
Don Henley,53,The Boys of Summer,1985
Murray Head,54,One Night in Bangkok,1985
Sting,55,If You Love Somebody Set Them Free,1985
Animotion,56,Obsession,1985
Tina Turner,57,We Don't Need Another Hero (Thunderdome),1985
Madonna,58,Material Girl,1985
Tina Turner,59,Better Be Good to Me,1985
Tears for Fears,60,Head over Heels,1985
Harold Faltermeyer,61,Axel F,1985
Sade,62,Smooth Operator,1985
Mary Jane Girls,63,In My House,1985
Phil Collins,64,Don't Lose My Number,1985
Cyndi Lauper,65,All Through the Night,1985
Bryan Adams,66,Run to You,1985
Bruce Springsteen,67,Glory Days,1985
'Til Tuesday,68,Voices Carry,1985
Kool &amp; the Gang,69,Misled,1985
Eurythmics,70,Would I Lie to You?,1985
ABC,71,Be Near Me,1985
Paul McCartney,72,No More Lonely Nights,1985
Survivor,73,I Can't Hold Back,1985
Bryan Adams,74,Summer Of '69,1985
Katrina and the Waves,75,Walking on Sunshine,1985
Wham!,76,Freedom,1985
Julian Lennon,77,Too Late for Goodbyes,1985
Julian Lennon,78,Valotte,1985
Power Station,79,Some Like It Hot,1985
Ashford &amp; Simpson,80,Solid,1985
Madonna,81,Angel,1985
Bruce Springsteen,82,I'm on Fire,1985
Hall &amp; Oates,83,Method of Modern Love,1985
Thompson Twins,84,Lay Your Hands on Me,1985
DeBarge,85,Who's Holding Donna Now,1985
John Cougar Mellencamp,86,Lonely Ol' Night,1985
Heart,87,What About Love,1985
David Lee Roth,88,California Girls,1985
Kool &amp; the Gang,89,Fresh,1985
Jermaine Jackson,90,Do What You Do,1985
The Time,91,Jungle Love,1985
Bruce Springsteen,92,Born in the U.S.A.,1985
Tina Turner,93,Private Dancer,1985
Aretha Franklin,94,Who's Zoomin' Who,1985
Sting,95,Fortress Around Your Heart,1985
Lionel Richie,96,Penny Lover,1985
Don Henley,97,All She Wants to Do Is Dance,1985
Madonna,98,Dress You Up,1985
Night Ranger,99,Sentimental Street,1985
Sheena Easton,100,Sugar Walls,1985
Dionne Warwick,1,That's What Friends Are For,1986
Lionel Richie,2,"Say You, Say Me",1986
Klymaxx,3,I Miss You,1986
Patti LaBelle,4,On My Own,1986
Mr. Mister,5,Broken Wings,1986
Whitney Houston,6,How Will I Know,1986
Eddie Murphy,7,Party All the Time,1986
Survivor,8,Burning Heart,1986
Mr. Mister,9,Kyrie,1986
Robert Palmer,10,Addicted to Love,1986
Whitney Houston,11,Greatest Love of All,1986
Atlantic Starr,12,Secret Lovers,1986
Gloria Loring,13,Friends and Lovers,1986
Peter Cetera,14,Glory of Love,1986
Pet Shop Boys,15,West End Girls,1986
Billy Ocean,16,There'll Be Sad Songs (To Make You Cry),1986
Simple Minds,17,Alive and Kicking,1986
Heart,18,Never,1986
Prince,19,Kiss,1986
Steve Winwood,20,Higher Love,1986
Huey Lewis and the News,21,Stuck with You,1986
Simply Red,22,Holding Back the Years,1986
Peter Gabriel,23,Sledgehammer,1986
Starship,24,Sara,1986
The Human League,25,Human,1986
Nu Shooz,26,I Can't Wait,1986
Berlin,27,Take My Breath Away,1986
Falco,28,Rock Me Amadeus,1986
Madonna,29,Papa Don't Preach,1986
Bon Jovi,30,You Give Love a Bad Name,1986
Billy Ocean,31,"When the Going Gets Tough, the Tough Get Going",1986
Janet Jackson,32,When I Think of You,1986
Heart,33,These Dreams,1986
Glass Tiger,34,Don't Forget Me (When I'm Gone),1986
Madonna,35,Live to Tell,1986
Belinda Carlisle,36,Mad About You,1986
Level 42,37,Something About You,1986
Bananarama,38,Venus,1986
Lionel Richie,39,Dancing on the Ceiling,1986
Miami Sound Machine,40,Conga,1986
Cyndi Lauper,41,True Colors,1986
Kenny Loggins,42,Danger Zone,1986
Janet Jackson,43,What Have You Done For Me Lately,1986
Howard Jones,44,No One Is to Blame,1986
Sly Fox,45,Let's Go All the Way,1986
Robert Palmer,46,I Didn't Mean to Turn You On,1986
Miami Sound Machine,47,Words Get in the Way,1986
The Bangles,48,Manic Monday,1986
Dire Straits,49,Walk of Life,1986
Boston,50,Amanda,1986
Stacey Q,51,Two of Hearts,1986
The Jets,52,Crush on You,1986
Orchestral Manoeuvres in the Dark,53,If You Leave,1986
Genesis,54,Invisible Touch,1986
Sade,55,The Sweetest Taboo,1986
INXS,56,What You Need,1986
Stevie Nicks,57,Talk to Me,1986
Janet Jackson,58,Nasty,1986
Eddie Money,59,Take Me Home Tonight,1986
Jermaine Stewart,60,We Don't Have to Take Our Clothes Off,1986
Lisa Lisa and Cult Jam,61,All Cried Out,1986
The Outfield,62,Your Love,1986
Wham!,63,I'm Your Man,1986
Scritti Politti,64,Perfect Way,1986
James Brown,65,Living in America,1986
John Cougar Mellencamp,66,R.O.C.K. in the U.S.A.,1986
El DeBarge,67,Who's Johnny,1986
Cameo,68,Word Up!,1986
Van Halen,69,Why Can't This Be Love,1986
Mike + The Mechanics,70,Silent Running (On Dangerous Ground),1986
Tina Turner,71,Typical Male,1986
John Cougar Mellencamp,72,Small Town,1986
Baltimora,73,Tarzan Boy,1986
Mike + The Mechanics,74,All I Need Is a Miracle,1986
Michael McDonald,75,Sweet Freedom,1986
Madonna,76,True Blue,1986
Timex Social Club,77,Rumors,1986
Dream Academy,78,Life in a Northern Town,1986
Miami Sound Machine,79,Bad Boy,1986
ZZ Top,80,Sleeping Bag,1986
The Cars,81,Tonight She Comes,1986
Rod Stewart,82,Love Touch,1986
Sheila E.,83,A Love Bizarre,1986
Genesis,84,Throwing It All Away,1986
Regina,85,Baby Love,1986
Arcadia,86,Election Day,1986
Elton John,87,Nikita,1986
Phil Collins,88,Take Me Home,1986
RunD.M.C.,89,Walk This Way,1986
Anita Baker,90,Sweet Love,1986
Moody Blues,91,Your Wildest Dreams,1986
Paul McCartney,92,Spies Like Us,1986
Starpoint,93,Object of My Desire,1986
Daryl Hall,94,Dreamtime,1986
Force MDs,95,Tender Love,1986
Thompson Twins,96,King for a Day,1986
Lionel Richie,97,Love Will Conquer All,1986
George Michael,98,A Different Corner,1986
Toto,99,I'll Be Over You,1986
Stevie Wonder,100,Go Home,1986
The Bangles,1,Walk Like an Egyptian,1987
Heart,2,Alone,1987
Gregory Abbott,3,Shake You Down,1987
Whitney Houston,4,I Wanna Dance with Somebody (Who Loves Me),1987
Starship,5,Nothing's Gonna Stop Us Now,1987
Robbie Nevil,6,C'est La Vie,1987
Whitesnake,7,Here I Go Again,1987
Bruce Hornsby and the Range,8,The Way It Is,1987
Bob Seger,9,Shakedown,1987
Bon Jovi,10,Livin' on a Prayer,1987
Los Lobos,11,La Bamba,1987
Wang Chung,12,Everybody Have Fun Tonight,1987
Crowded House,13,Don't Dream It's Over,1987
Atlantic Starr,14,Always,1987
U2,15,With or Without You,1987
Jody Watley,16,Looking for a New Love,1987
Lisa Lisa and Cult Jam,17,Head to Toe,1987
Tiffany,18,I Think We're Alone Now,1987
Billy Idol,19,Mony Mony,1987
Billy Vera and the Beaters,20,At This Moment,1987
Chris de Burgh,21,The Lady in Red,1987
Whitney Houston,22,Didn't We Almost Have It All,1987
U2,23,I Still Haven't Found What I'm Looking For,1987
George Michael,24,I Want Your Sex,1987
Duran Duran,25,Notorious,1987
Debbie Gibson,26,Only in My Dreams,1987
Bill Medley,27,(I've Had) The Time of My Life,1987
Peter Cetera,28,The Next Time I Fall,1987
Club Nouveau,29,Lean on Me,1987
Madonna,30,Open Your Heart,1987
Lisa Lisa and Cult Jam,31,Lost in Emotion,1987
Cutting Crew,32,(I Just) Died In Your Arms,1987
T'Pau,33,Heart and Soul,1987
Kim Wilde,34,You Keep Me Hangin' On,1987
Georgia Satellites,35,Keep Your Hands to Yourself,1987
Aretha Franklin,36,I Knew You Were Waiting (For Me),1987
Janet Jackson,37,Control,1987
Prince,38,U Got the Look,1987
Linda Ronstadt,39,Somewhere Out There,1987
Genesis,40,Land of Confusion,1987
Huey Lewis and the News,41,Jacob's Ladder,1987
Madonna,42,Who's That Girl,1987
The Jets,43,You Got It All,1987
Samantha Fox,44,Touch Me (I Want Your Body),1987
Michael Jackson,45,I Just Can't Stop Loving You,1987
Madonna,46,Causing a Commotion,1987
Genesis,47,In Too Deep,1987
Janet Jackson,48,Let's Wait Awhile,1987
Huey Lewis and the News,49,Hip to Be Square,1987
Chicago,50,Will You Still Love Me?,1987
Fleetwood Mac,51,Little Lies,1987
Suzanne Vega,52,Luka,1987
Bananarama,53,I Heard A Rumour,1987
Richard Marx,54,Don't Mean Nothing,1987
Kenny G,55,Songbird,1987
Europe,56,Carrie,1987
The System,57,Don't Disturb This Groove,1987
Madonna,58,La Isla Bonita,1987
Michael Jackson,59,Bad,1987
Prince,60,Sign o' the Times,1987
Cyndi Lauper,61,Change of Heart,1987
Exposé,62,Come Go with Me,1987
Dan Hill,63,Can't We Try,1987
Billy Idol,64,To Be a Lover,1987
Bruce Hornsby and the Range,65,Mandolin Rain,1987
Swing Out Sister,66,Breakout,1987
Ben E. King,67,Stand by Me,1987
Genesis,68,"Tonight, Tonight, Tonight",1987
Glass Tiger,69,"""Someday""",1987
ABC,70,When Smokey Sings,1987
LeVert,71,Casanova,1987
Gloria Estefan and Miami Sound Machine,72,Rhythm Is Gonna Get You,1987
The Whispers,73,Rock Steady,1987
Bon Jovi,74,Wanted Dead or Alive,1987
Peter Gabriel,75,Big Time,1987
Steve Winwood,76,The Finer Things,1987
Exposé,77,Let Me Be the One,1987
Survivor,78,"""Is This Love""",1987
Herb Alpert,79,Diamonds,1987
Exposé,80,Point of No Return,1987
Fleetwood Mac,81,Big Love,1987
Lou Gramm,82,Midnight Blue,1987
Crowded House,83,Something So Strong,1987
Bryan Adams,84,Heat of the Night,1987
Glenn Medeiros,85,Nothing's Gonna Change My Love for You,1987
Bruce Springsteen,86,Brilliant Disguise,1987
Smokey Robinson,87,Just to See Her,1987
Heart,88,Who Will You Run To,1987
Bruce Willis,89,Respect Yourself,1987
The Jets,90,Cross My Broken Heart,1987
Kool &amp; the Gang,91,"""Victory""",1987
The Pretenders,92,Don't Get Me Wrong,1987
Huey Lewis and the News,93,Doing It All for My Baby,1987
Breakfast Club,94,Right on Track,1987
Lionel Richie,95,Ballerina Girl,1987
Kenny Loggins,96,"""Meet Me Half Way""",1987
Cutting Crew,97,I've Been in Love Before,1987
Beastie Boys,98,(You Gotta) Fight for Your Right (To Party!),1987
Pseudo Echo,99,Funkytown,1987
Ready for the World,100,Love You Down,1987
George Michael,1,Faith,1988
INXS,2,Need You Tonight,1988
George Harrison,3,Got My Mind Set on You,1988
Rick Astley,4,Never Gonna Give You Up,1988
Guns N' Roses,5,Sweet Child o' Mine,1988
Whitney Houston,6,So Emotional,1988
Belinda Carlisle,7,Heaven Is a Place on Earth,1988
Tiffany,8,Could've Been,1988
Breathe,9,Hands to Heaven,1988
Steve Winwood,10,Roll with It,1988
George Michael,11,One More Try,1988
Terence Trent D'Arby,12,Wishing Well,1988
Gloria Estefan and Miami Sound Machine,13,Anything for You,1988
Cheap Trick,14,The Flame,1988
Billy Ocean,15,"Get Outta My Dreams, Get into My Car",1988
Exposé,16,Seasons Change,1988
Whitesnake,17,Is This Love,1988
The Escape Club,18,"Wild, Wild West",1988
Def Leppard,19,Pour Some Sugar on Me,1988
Taylor Dayne,20,I'll Always Love You,1988
Michael Jackson,21,Man in the Mirror,1988
Debbie Gibson,22,Shake Your Love,1988
Robert Palmer,23,Simply Irresistible,1988
Richard Marx,24,Hold On to the Nights,1988
Eric Carmen,25,Hungry Eyes,1988
Johnny Hates Jazz,26,Shattered Dreams,1988
George Michael,27,Father Figure,1988
Samantha Fox,28,Naughty Girls (Need Love Too),1988
Phil Collins,29,A Groovy Kind of Love,1988
Def Leppard,30,Love Bites,1988
Richard Marx,31,Endless Summer Nights,1988
Debbie Gibson,32,Foolish Beat,1988
Whitney Houston,33,Where Do Broken Hearts Go,1988
Aerosmith,34,Angel,1988
The Bangles,35,A Hazy Shade of Winter,1988
Michael Jackson,36,The Way You Make Me Feel,1988
Bobby McFerrin,37,"Don't Worry, Be Happy",1988
Eric Carmen,38,Make Me Lose Control,1988
UB40,39,Red Red Wine,1988
Patrick Swayze,40,She's Like the Wind,1988
Bon Jovi,41,Bad Medicine,1988
The Beach Boys,42,Kokomo,1988
Elton John,43,I Don't Wanna Go on with You Like That,1988
Rick Astley,44,Together Forever,1988
George Michael,45,Monkey,1988
INXS,46,Devil Inside,1988
Richard Marx,47,Should've Known Better,1988
Chicago,48,I Don't Wanna Live Without Your Love,1988
Kylie Minogue,49,The Loco-Motion,1988
Pet Shop Boys,50,What Have I Done to Deserve This?,1988
The Jets,51,Make It Real,1988
Information Society,52,What's On Your Mind (Pure Energy),1988
Taylor Dayne,53,Tell It to My Heart,1988
Debbie Gibson,54,Out of the Blue,1988
Jody Watley,55,Don't You Want Me,1988
U2,56,Desire,1988
Belinda Carlisle,57,I Get Weak,1988
Terence Trent D'Arby,58,Sign Your Name,1988
Roger Troutman,59,I Want to Be Your Man,1988
Pebbles,60,Girlfriend,1988
Michael Jackson,61,Dirty Diana,1988
Gloria Estefan and Miami Sound Machine,62,1-2-3,1988
Pebbles,63,Mercedes Boy,1988
Huey Lewis and the News,64,Perfect World,1988
INXS,65,New Sensation,1988
Pretty Poison,66,Catch Me (I'm Falling),1988
New Edition,67,If It Isn't Love,1988
The Jets,68,Rocket 2 U,1988
Peter Cetera,69,One Good Woman,1988
Cheap Trick,70,Don't Be Cruel,1988
Elton John,71,Candle in the Wind,1988
Daryl Hall &amp; John Oates,72,Everything Your Heart Desires,1988
Foreigner,73,Say You Will,1988
Keith Sweat,74,I Want Her,1988
Natalie Cole,75,Pink Cadillac,1988
Tracy Chapman,76,Fast Car,1988
Icehouse,77,Electric Blue,1988
Bruce Hornsby and the Range,78,The Valley Road,1988
Bobby Brown,79,Don't Be Cruel,1988
Pet Shop Boys,80,Always on My Mind,1988
Brenda Russell,81,Piano in the Dark,1988
Van Halen,82,When It's Love,1988
Paul Carrack,83,Don't Shed a Tear,1988
Sting,84,We'll Be Together,1988
Joan Jett and the Blackhearts,85,I Hate Myself for Loving You,1988
Foreigner,86,I Don't Want to Live Without You,1988
Al B. Sure!,87,Nite and Day,1988
Steve Winwood,88,Don't You Know What the Night Can Do?,1988
Whitney Houston,89,One Moment in Time,1988
Gloria Estefan and Miami Sound Machine,90,Can't Stay Away from You,1988
George Michael,91,Kissing a Fool,1988
John Cougar Mellencamp,92,Cherry Bomb,1988
Brenda K. Starr,93,I Still Believe,1988
Cher,94,I Found Someone,1988
INXS,95,Never Tear Us Apart,1988
Steve Winwood,96,Valerie,1988
David Lee Roth,97,Just Like Paradise,1988
Poison,98,Nothin' but a Good Time,1988
White Lion,99,Wait,1988
Taylor Dayne,100,Prove Your Love,1988
Chicago,1,Look Away,1989
Bobby Brown,2,My Prerogative,1989
Poison,3,Every Rose Has Its Thorn,1989
Paula Abdul,4,Straight Up,1989
Janet Jackson,5,Miss You Much,1989
Paula Abdul,6,Cold Hearted,1989
Bette Midler,7,Wind Beneath My Wings,1989
Milli Vanilli,8,Girl You Know It's True,1989
Will to Power,9,"Baby, I Love Your Way/Freebird Medley",1989
Anita Baker,10,Giving You the Best That I Got,1989
Richard Marx,11,Right Here Waiting,1989
Boy Meets Girl,12,Waiting For a Star to Fall,1989
Debbie Gibson,13,Lost in Your Eyes,1989
Gloria Estefan,14,Don't Wanna Lose You,1989
Warrant,15,Heaven,1989
Milli Vanilli,16,Girl I'm Gonna Miss You,1989
Roxette,17,The Look,1989
Fine Young Cannibals,18,She Drives Me Crazy,1989
Bobby Brown,19,On Our Own,1989
Phil Collins,20,Two Hearts,1989
Milli Vanilli,21,Blame It on the Rain,1989
Roxette,22,Listen to Your Heart,1989
Bon Jovi,23,I'll Be There for You,1989
Simply Red,24,If You Don't Know Me by Now,1989
Madonna,25,Like a Prayer,1989
New Kids on the Block,26,I'll Be Loving You (Forever),1989
Breathe,27,How Can I Fall?,1989
Milli Vanilli,28,Baby Don't Forget My Number,1989
Martika,29,Toy Soldiers,1989
Paula Abdul,30,Forever Your Girl,1989
Mike + The Mechanics,31,The Living Years,1989
The Bangles,32,Eternal Flame,1989
Tone L?c,33,Wild Thing,1989
Bad English,34,When I See You Smile,1989
Cher,35,If I Could Turn Back Time,1989
Neneh Cherry,36,Buffalo Stance,1989
Sheriff,37,When I'm with You,1989
Taylor Dayne,38,Don't Rush Me,1989
Bon Jovi,39,Born to Be My Baby,1989
Fine Young Cannibals,40,Good Thing,1989
Sheena Easton,41,The Lover in Me,1989
Young MC,42,Bust a Move,1989
Great White,43,"Once Bitten, Twice Shy",1989
Prince,44,Batdance,1989
Michael Damian,45,Rock On,1989
Jody Watley,46,Real Love,1989
The B-52s,47,Love Shack,1989
Bobby Brown,48,Every Little Step,1989
New Kids on the Block,49,Hangin' Tough,1989
Rod Stewart,50,My Heart Can't Tell You No,1989
Love and Rockets,51,So Alive,1989
New Kids on the Block,52,You Got It (The Right Stuff),1989
Def Leppard,53,Armageddon It,1989
Richard Marx,54,Satisfied,1989
Madonna,55,Express Yourself,1989
Dino,56,I Like It,1989
Donny Osmond,57,Soldier of Love,1989
Tears for Fears,58,Sowing the Seeds of Love,1989
Madonna,59,Cherish,1989
White Lion,60,When the Children Cry,1989
Skid Row,61,18 and Life,1989
Duran Duran,62,I Don't Want Your Love,1989
.38 Special,63,Second Chance,1989
Karyn White,64,The Way You Love Me,1989
Tone L?c,65,Funky Cold Medina,1989
The Bangles,66,In Your Room,1989
Natalie Cole,67,Miss You Like Crazy,1989
The Cure,68,Lovesong,1989
Karyn White,69,Secret Rendezvous,1989
The Jeff Healey Band,70,Angel Eyes,1989
Guns N' Roses,71,Patience,1989
Eddie Money,72,Walk on Water,1989
New Kids on the Block,73,Cover Girl,1989
Guns N' Roses,74,Welcome to the Jungle,1989
Surface,75,Shower Me With Your Love,1989
R.E.M.,76,Stand,1989
Lita Ford,77,"""Close My Eyes Forever""",1989
Tiffany,78,All This Time,1989
Cher,79,After All,1989
Bobby Brown,80,Roni,1989
Aerosmith,81,Love in an Elevator,1989
Bon Jovi,82,Lay Your Hands on Me,1989
When in Rome,83,The Promise,1989
Edie Brickell &amp; New Bohemians,84,What I Am,1989
Boys Club,85,"""I Remember Holding You""",1989
Guns N' Roses,86,Paradise City,1989
Samantha Fox,87,I Wanna Have Some Fun,1989
Rick Astley,88,She Wants to Dance with Me,1989
Vanessa Williams,89,Dreamin',1989
Babyface,90,It's No Crime,1989
Alice Cooper,91,Poison,1989
Donna Summer,92,This Time I Know It's for Real,1989
Michael Jackson,93,Smooth Criminal,1989
Deon Estus,94,"""Heaven Help Me""",1989
Bobby Brown,95,Rock Wit'cha,1989
Sa-Fire,96,Thinking of You,1989
Exposé,97,What You Don't Know,1989
Ann Wilson,98,Surrender To Me,1989
Don Henley,99,The End of the Innocence,1989
Soul II Soul,100,Keep on Movin',1989
Wilson Phillips,1,Hold On,1990
Roxette,2,It Must Have Been Love,1990
Sinéad O'Connor,3,Nothing Compares 2 U,1990
Bell Biv DeVoe,4,Poison,1990
Madonna,5,Vogue,1990
Mariah Carey,6,Vision of Love,1990
Phil Collins,7,Another Day in Paradise,1990
En Vogue,8,Hold On,1990
Billy Idol,9,Cradle of Love,1990
Jon Bon Jovi,10,Blaze of Glory,1990
Bell Biv DeVoe,11,Do Me!,1990
Michael Bolton,12,How Am I Supposed to Live Without You,1990
Technotronic,13,Pump Up the Jam,1990
Paula Abdul,14,Opposites Attract,1990
Janet Jackson,15,Escapade,1990
Heart,16,All I Wanna Do Is Make Love to You,1990
Maxi Priest,17,Close to You,1990
Alannah Myles,18,Black Velvet,1990
Wilson Phillips,19,Release Me,1990
Linda Ronstadt,20,Don't Know Much,1990
Lisa Stansfield,21,All Around the World,1990
Calloway,22,I Wanna Be Rich,1990
Johnny Gill,23,Rub You the Right Way,1990
Glenn Medeiros,24,She Ain't Worth It,1990
Sweet Sensation,25,If Wishes Came True,1990
Snap!,26,The Power,1990
Nelson,27,(Can't Live Without Your) Love and Affection,1990
Taylor Dayne,28,Love Will Lead You Back,1990
Jane Child,29,Don't Wanna Fall in Love,1990
Seduction,30,Two to Make It Right,1990
Linear,31,Sending All My Love,1990
Poison,32,Unskinny Bop,1990
New Kids on the Block,33,Step by Step,1990
Roxette,34,Dangerous,1990
Billy Joel,35,We Didn't Start the Fire,1990
James Ingram,36,I Don't Have the Heart,1990
Rod Stewart,37,Downtown Train,1990
Janet Jackson,38,Rhythm Nation,1990
Tommy Page,39,I'll Be Your Everything,1990
The B-52s,40,Roam,1990
Jody Watley,41,Everything,1990
Soul II Soul,42,Back to Life (However Do You Want Me),1990
Luther Vandross,43,Here and Now,1990
Janet Jackson,44,Alright,1990
Vanilla Ice,45,Ice Ice Baby,1990
Milli Vanilli,46,Blame It on the Rain,1990
MC Hammer,47,Have You Seen Her,1990
Taylor Dayne,48,With Every Beat of My Heart,1990
Janet Jackson,49,Come Back to Me,1990
Michel'le,50,No More Lies,1990
George Michael,51,Praying for Time,1990
Michael Bolton,52,How Can We Be Lovers,1990
Phil Collins,53,Do You Remember,1990
After 7,54,Ready or Not,1990
MC Hammer,55,U Can't Touch This,1990
Phil Collins,56,I Wish It Would Rain Down,1990
Lou Gramm,57,Just Between You and Me,1990
Phil Collins,58,Something Happened on the Way to Heaven,1990
Janet Jackson,59,Black Cat,1990
After 7,60,Can't Stop,1990
Aerosmith,61,Janie's Got a Gun,1990
Digital Underground,62,The Humpty Dance,1990
Taylor Dayne,63,I'll Be Your Shelter,1990
Tom Petty,64,Free Fallin',1990
Pebbles,65,Giving You the Benefit,1990
Depeche Mode,66,Enjoy the Silence,1990
Tesla,67,Love Song,1990
Bad English,68,Price of Love,1990
Tyler Collins,69,"""Girls Nite Out""",1990
Go West,70,King of Wishful Thinking,1990
Chicago,71,What Kind of Man Would I Be?,1990
Skid Row,72,I Remember You,1990
Technotronic,73,Get Up! (Before the Night Is Over),1990
Gloria Estefan,74,Here We Are,1990
Faith No More,75,Epic,1990
Mariah Carey,76,Love Takes Time,1990
Cher,77,Just Like Jesse James,1990
The B-52s,78,Love Shack,1990
Milli Vanilli,79,All or Nothing,1990
Dino,80,Romeo,1990
Black Box,81,Everybody Everybody,1990
Billy Joel,82,I Go to Extremes,1990
Babyface,83,Whip Appeal,1990
Paul Young,84,Oh Girl,1990
D Mob,85,C'mon and Get My Love,1990
Paula Abdul,86,(It's Just) The Way That You Love Me,1990
The Cover Girls,87,"""We Can't Go Wrong""",1990
Michael Bolton,88,When I'm Back on My Feet Again,1990
Keith Sweat,89,Make You Sweat,1990
New Kids on the Block,90,This One's for the Children,1990
Aerosmith,91,What It Takes,1990
Kiss,92,Forever,1990
The Time,93,Jerk Out,1990
Biz Markie,94,Just a Friend,1990
A'Me Lorain,95,"""Whole Wide World""",1990
Mötley Crüe,96,Without You,1990
Jive Bunny and the Mastermixers,97,Swing the Mood,1990
Prince,98,Thieves in the Temple,1990
Mellow Man Ace,99,Mentirosa,1990
Kyper,100,"""Tic-Tac-Toe""",1990
Bryan Adams,1,(Everything I Do) I Do It for You,1991
Color Me Badd,2,I Wanna Sex You Up,1991
C+C Music Factory,3,Gonna Make You Sweat (Everybody Dance Now),1991
Paula Abdul,4,Rush Rush,1991
Timmy T,5,One More Try,1991
EMF,6,Unbelievable,1991
Extreme,7,More Than Words,1991
Hi-Five,8,I Like the Way (The Kissing Game),1991
Surface,9,The First Time,1991
Amy Grant,10,Baby Baby,1991
Boyz II Men,11,Motownphilly,1991
Stevie B,12,Because I Love You (The Postman Song),1991
Mariah Carey,13,Someday,1991
Damn Yankees,14,High Enough,1991
Bette Midler,15,From a Distance,1991
Whitney Houston,16,All the Man That I Need,1991
Jesus Jones,17,"Right Here, Right Now",1991
Color Me Badd,18,I Adore Mi Amor,1991
Janet Jackson,19,Love Will Never Do (Without You),1991
Marky Mark and the Funky Bunch,20,Good Vibrations,1991
Madonna,21,Justify My Love,1991
Mariah Carey,22,Emotions,1991
Roxette,23,Joyride,1991
Karyn White,24,Romantic,1991
Tara Kemp,25,Hold You Tight,1991
Mariah Carey,26,I Don't Wanna Cry,1991
Wilson Phillips,27,You're in Love,1991
Amy Grant,28,Every Heartbeat,1991
Ralph Tresvant,29,Sensitivity,1991
Cathy Dennis,30,Touch Me (All Night Long),1991
Londonbeat,31,I've Been Thinking About You,1991
Natural Selection,32,Do Anything,1991
R.E.M.,33,Losing My Religion,1991
Gloria Estefan,34,Coming Out of the Dark,1991
Lenny Kravitz,35,It Ain't Over 'til It's Over,1991
C+C Music Factory,36,Here We Go,1991
Celine Dion,37,Where Does My Heart Beat Now,1991
DJ Jazzy Jeff &amp; The Fresh Prince,38,Summertime,1991
Scorpions,39,Wind of Change,1991
Rythm Syndicate,40,P.A.S.S.I.O.N.,1991
Paula Abdul,41,The Promise of a New Day,1991
Whitney Houston,42,I'm Your Baby Tonight,1991
FireHouse,43,Love of a Lifetime,1991
Roxette,44,Fading Like a Flower (Every Time You Leave),1991
Tracie Spencer,45,This House,1991
Extreme,46,Hole Hearted,1991
Luther Vandross,47,Power of Love/Love Power,1991
Wilson Phillips,48,Impulsive,1991
